ID,Algal.Mat.Coverage,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,Depositional.Type,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,Macrophyte.Coverage,NO2_mgL,NO3_mgL,NPOC_mg.L.asC,Number.Days.Since.Precip,Precipitation.Within.Week,Primary.Sources.Flow.Variation,resprate_mg.L.h,Sediment_Bedrock,Stream_Order,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,altS,MAT,MAP,cluster
SED_S19S.0059_D_Field,3,0.45,1,-15.1,-109.8,8,0.07,4,1,1,1,0.04,0.12,37.02,0,1,18,1,1,1,4,5.2,417,7.1,1052,sed_1
SED_S19S.0059_M_Field,3,0.45,1,-15.1,-109.8,8,0.07,4,1,1,1,0.04,0.12,22.84,0,1,18,15,1,1,4,8.5,48,9.6,1172,sed_0
SED_S19S.0059_U_Field,3,0.45,1,-15.1,-109.8,8,0.07,4,1,1,1,0.04,0.12,41.07,0,1,18,6.92,1,1,4,5.1,48,9.6,1172,sed_1
SED_S19S.0060_D_Field,3,8.63,3,-12.76,-96.9,1,0.15,6,2,1,3,0.04,5.69,10.74,0,2,3,5.24,3,7,3,34,48,9.6,1172,sed_0
SED_S19S.0060_M_Field,3,8.63,3,-12.76,-96.9,1,0.15,6,2,1,3,0.04,5.69,10.32,0,2,3,1.84,3,7,3,49,2,14.3,1101,sed_2
SED_S19S.0060_U_Field,3,8.63,3,-12.76,-96.9,1,0.15,6,2,1,3,0.04,5.69,6.2,0,2,3,1.12,3,7,1,52,2,14.3,1101,sed_2
SED_S19S.0061_D_Field,3,28.24,1,-7.5,-49.2,1,0.08,2,2,1,2,0.08,9.84,17.25,1,1,18,1,2,1,3,78,2,14.3,1101,sed_2
SED_S19S.0061_M_Field,3,28.24,1,-7.5,-49.2,1,0.08,2,2,1,2,0.08,9.84,21.79,1,1,18,1,2,1,2,42,715,8.7,526,sed_2
SED_S19S.0061_U_Field,3,28.24,1,-7.5,-49.2,1,0.08,2,2,1,3,0.08,9.84,44.52,1,1,18,1,2,1,1,55,715,8.7,526,sed_1
SED_S19S.0062_D_Field,3,0.9,3,-16.81,-123.2,3,0.11,3,2,1,1,0.04,0.12,5.45,4,1,18,0.1,3,5,1,36,715,8.7,526,sed_2
SED_S19S.0062_M_Field,3,0.9,3,-16.81,-123.2,3,0.11,3,2,1,1,0.04,0.12,8.54,4,1,18,6.32,3,5,1,42,68,14.2,1433,sed_2
SED_S19S.0062_U_Field,3,0.9,3,-16.81,-123.2,3,0.11,3,2,1,1,0.04,0.12,6.47,4,1,18,0.1,3,5,1,40,68,14.2,1433,sed_2
SED_S19S.0063_D_Field,3,29.88,2,-2.72,-19.5,3,0.17,14,1,1,2,0.04,1.85,14.32,0,2,6,0.39,3,6,1,20,68,14.2,1433,sed_1
SED_S19S.0063_M_Field,3,29.88,2,-2.72,-19.5,3,0.17,14,1,1,2,0.04,1.85,5.03,0,2,6,0.64,3,6,1,35,86,17.2,1183,sed_2
SED_S19S.0063_U_Field,3,29.88,2,-2.72,-19.5,3,0.17,14,1,1,2,0.04,1.85,3.43,0,2,6,0.52,3,6,1,40,86,17.2,1183,sed_0
SED_S19S.0064_D_Field,3,6.73,3,-7.1,-51.1,3,0.05,6,2,1,1,0.06,5.07,25.59,5,1,18,22.97,3,4,2,34,86,17.2,1183,sed_2
SED_S19S.0064_M_Field,3,6.73,3,-7.1,-51.1,3,0.05,6,2,1,2,0.06,5.07,21.81,5,1,18,21.19,3,4,2,11,-164,21.9,412,sed_2
SED_S19S.0064_U_Field,3,6.73,3,-7.1,-51.1,1,0.05,6,2,1,1,0.06,5.07,13.79,5,1,18,7.67,3,4,4,35,-164,21.9,412,sed_1
SED_S19S.0065_D_Field,3,4.31,3,-7.16,-49.6,1,0.08,15,1,1,3,0.04,0.12,6.65,0,2,15,1,3,5,4,50.8,978,6.3,640,sed_2
SED_S19S.0065_M_Field,3,4.31,3,-7.16,-49.6,1,0.08,15,1,1,3,0.04,0.12,10.34,0,2,15,1,3,5,4,40.64,978,6.3,640,sed_2
SED_S19S.0065_U_Field,3,4.31,3,-7.16,-49.6,1,0.08,15,1,1,3,0.04,0.12,12.27,0,2,15,1,3,5,4,39.37,978,6.3,640,sed_2
SED_S19S.0066_D_Field,3,3.85,2,-13.12,-96.5,4,0.24,2,3,1,1,0.04,0.69,4.19,7,1,14,0.83,1,7,1,9,146,11.8,191,sed_2
SED_S19S.0066_M_Field,3,3.85,2,-13.12,-96.5,1,0.24,2,3,1,1,0.04,0.69,24.13,7,1,14,1,1,7,2,10,146,11.8,191,sed_2
SED_S19S.0066_U_Field,3,3.85,2,-13.12,-96.5,1,0.24,2,3,1,2,0.04,0.69,15.42,7,1,14,1,1,7,4,5,146,11.8,191,sed_2
SED_S19S.0067_D_Field,3,12.15,1,-8.77,-57.9,3,0.08,2,1,1,1,0.04,6.71,24.32,4,1,18,1,3,3,3,8,280,7.6,811,sed_0
SED_S19S.0067_M_Field,3,12.15,1,-8.77,-57.9,3,0.08,2,1,1,2,0.04,6.71,21.66,4,1,18,1,3,3,1,15,280,7.6,811,sed_2
SED_S19S.0068_M_Field,3,3.35,1,-10.86,-73.1,4,0.03,13,3,3,1,0.04,0.13,7.01,1,1,2,1,3,3,4,3,280,7.6,811,sed_2
SED_S19S.0068_U_Field,3,3.35,1,-10.86,-73.1,8,0.03,13,3,3,1,0.04,0.13,8.71,1,1,2,0.85,3,3,4,2,2367,3,313,sed_2
SED_S19S.0069_D_Field,3,15.02,1,-5.86,-36.1,3,0.09,13,2,1,1,0.04,0.12,9.2,3,1,18,0.3,3,1,2,5,2367,3,313,sed_2
SED_S19S.0069_M_Field,3,15.02,1,-5.86,-36.1,1,0.09,13,2,1,1,0.04,0.12,5.33,3,1,18,0.32,3,1,2,4,2367,3,313,sed_2
SED_S19S.0069_U_Field,3,15.02,1,-5.86,-36.1,8,0.09,13,2,1,1,0.04,0.12,6.22,3,1,18,0.43,3,1,2,5.5,142,20.2,808,sed_2
SED_S19S.0070_D_Field,3,20.83,1,-6.21,-38.1,1,0.06,15,2,1,1,0.04,0.12,8.06,3,1,18,0.47,3,1,2,5.5,142,20.2,808,sed_2
SED_S19S.0070_M_Field,3,20.83,1,-6.21,-38.1,6,0.06,15,2,1,1,0.04,0.12,8.6,3,1,18,0.53,3,1,2,6,142,20.2,808,sed_2
SED_S19S.0070_U_Field,3,20.83,1,-6.21,-38.1,1,0.06,15,2,1,1,0.04,0.12,5.62,3,1,18,1.04,3,1,2,4,227,10.1,968,sed_2
SED_S19S.0071_M_Field,3,0.46,1,-16.7,-121.4,4,0.09,10,1,3,3,0.04,0.12,20.39,1,1,2,25.2,3,1,4,10,227,10.1,968,sed_2
SED_S19S.0071_U_Field,3,0.46,1,-16.7,-121.4,8,0.09,10,1,3,3,0.04,0.12,31.58,1,1,2,5.27,3,1,2,8.2,227,10.1,968,sed_0
SED_S19S.0072_M_Field,3,261.01,1,-8.33,-53.9,3,0.02,13,1,1,1,0.04,3.5,8.9,2,1,18,1.1,1,1,2,21,20,14,1024,sed_2
SED_S19S.0072_U_Field,3,261.01,1,-8.33,-53.9,3,0.02,13,1,1,1,0.04,3.5,10.87,2,1,18,6.59,1,1,2,16,20,14,1024,sed_2
SED_S19S.0073_D_Field,3,95.35,1,-6.18,-42.2,8,0.03,3,1,1,1,0.04,0.55,24.75,4,2,18,25.45,2,1,4,32,20,14,1024,sed_2
SED_S19S.0073_M_Field,3,95.35,1,-6.18,-42.2,8,0.03,3,1,1,1,0.04,0.55,21.83,4,2,18,24.44,2,1,4,32,1524,13.4,221,sed_2
SED_S19S.0073_U_Field,3,95.35,1,-6.18,-42.2,3,0.03,3,1,1,1,0.04,0.55,20.24,4,2,18,1,2,1,4,7,1524,13.4,221,sed_2
SED_S19S.0074_M_Field,3,1.27,3,-16.04,-124.4,1,0.09,9,2,1,1,0.04,0.43,21.2,0,2,6,1,1,8,1,23,1524,13.4,221,sed_2
SED_S19S.0074_U_Field,3,1.27,3,-16.04,-124.4,1,0.09,9,2,1,1,0.04,0.43,6.79,0,2,6,1.66,1,8,1,23,280,8.8,909,sed_2
SED_S19S.0075_D_Field,3,1.06,3,-17.32,-130.6,1,0.08,2,2,1,2,0.04,0.18,9.99,0,2,6,1.33,3,8,1,28,280,8.8,909,sed_0
SED_S19S.0075_M_Field,3,1.06,3,-17.32,-130.6,1,0.08,2,2,1,2,0.04,0.18,8.27,0,2,6,0.24,3,8,1,37,280,8.8,909,sed_2
SED_S19S.0076_D_Field,3,1.45,3,-16.96,-128.5,1,0.09,1,3,3,2,0.04,0.12,12.18,0,2,6,5.04,2,8,1,27,514,9.5,1837,sed_0
SED_S19S.0076_M_Field,3,1.45,3,-16.96,-128.5,1,0.09,1,3,3,2,0.04,0.12,40.62,0,2,6,3.91,2,8,1,26,514,9.5,1837,sed_0
SED_S19S.0076_U_Field,3,1.45,3,-16.96,-128.5,1,0.09,1,3,3,2,0.04,0.12,10.34,0,2,6,7.06,2,8,1,26,184,11.1,1160,sed_2
SED_S19S.0077_M_Field,3,0.78,1,-16.69,-122.2,6,0.16,2,2,1,1,0.04,0.12,8.52,0,2,18,1.23,3,6,1,23,184,11.1,1160,sed_2
SED_S19S.0077_U_Field,3,0.78,1,-16.69,-122.2,1,0.16,2,2,1,1,0.04,0.12,4.88,0,2,18,1.6,3,6,1,29,184,11.1,1160,sed_2
SED_S19S.0078_D_Field,3,3.5,1,-7.86,-57.6,1,0.06,13,2,1,1,0.04,0.12,10.18,0,2,18,1,1,2,2,10,184,11.1,1159,sed_2
SED_S19S.0078_M_Field,3,3.5,1,-7.86,-57.6,1,0.06,13,2,1,1,0.04,0.12,11.38,0,2,18,1,1,2,3,30,184,11.1,1159,sed_2
SED_S19S.0078_U_Field,3,3.5,1,-7.86,-57.6,4,0.06,13,2,1,1,0.04,0.12,6.93,0,2,18,1,1,2,3,30,184,11.1,1159,sed_2
SED_S19S.0079_D_Field,2,3.7,1,-11.88,-87,4,0.07,13,3,1,2,0.04,0.12,17.92,0,2,18,1,1,6,1,48,2535,3.8,485,sed_1
SED_S19S.0080_D_Field,3,13.76,1,-12.64,-92.9,8,0.27,3,3,2,1,0.04,1.54,3.96,0,3,21,1.02,2,7,1,10,2535,3.8,485,sed_2
SED_S19S.0080_M_Field,3,13.76,1,-12.64,-92.9,8,0.27,3,3,2,1,0.04,1.54,5.68,0,3,21,6.42,2,7,1,5,2535,3.8,485,sed_2
SED_S19S.0080_U_Field,3,13.76,1,-12.64,-92.9,8,0.27,3,3,2,1,0.04,1.54,20.65,0,3,21,11.16,2,7,1,10,47,9.2,1115,sed_0
SED_S19S.0081_M_Field,3,92.26,1,-5.6,-34.1,8,0.09,8,2,1,1,0.04,2.95,7.58,2,1,21,1,3,4,1,14.5,47,9.2,1115,sed_2
SED_S19S.0081_U_Field,3,92.26,1,-5.6,-34.1,3,0.09,8,2,1,1,0.04,2.95,24.22,2,1,21,6.42,3,4,1,23.5,47,9.2,1115,sed_0
SED_S19S.0082_D_Field,3,3874.53,1,-4.9,-32.4,10,0.02,1,1,1,3,0.04,0.12,17.91,1,1,21,11.47,2,3,1,40,19,9.1,1148,sed_2
SED_S19S.0082_M_Field,3,3874.53,1,-4.9,-32.4,10,0.02,1,1,1,3,0.04,0.12,20.54,1,1,21,9.65,2,3,1,40,19,9.1,1148,sed_2
SED_S19S.0082_U_Field,3,3874.53,1,-4.9,-32.4,10,0.02,1,1,1,3,0.04,0.12,22.25,1,1,21,27.96,2,3,1,60,19,9.1,1148,sed_0
SED_S19S.0083_D_Field,3,48.18,1,1,1,1,0.22,8,1,1,2,0.04,0.61,9.6,2,1,2,4.75,1,5,3,7,110,12,184,sed_2
SED_S19S.0083_M_Field,3,48.18,1,1,1,1,0.22,8,1,1,2,0.04,0.61,17.88,2,1,2,7.29,1,5,4,6,110,12,184,sed_0
SED_S19S.0084_D_Field,3,0.4,1,-9.24,-57.5,8,0.04,8,2,1,1,0.04,0.12,9.65,0,1,18,1.07,3,1,4,10,110,12,184,sed_2
SED_S19S.0084_M_Field,3,0.4,1,-9.24,-57.5,8,0.04,8,2,1,1,0.04,0.12,22.51,0,1,18,1.33,3,1,4,16,115,11.8,176,sed_0
SED_S19S.0084_U_Field,3,0.4,1,-9.24,-57.5,8,0.04,8,2,1,1,0.04,0.12,10.62,0,1,18,0.75,3,1,4,12,115,11.8,176,sed_2
SED_S19S.0085_D_Field,3,2.68,1,-15.83,-121.1,9,0.38,3,1,1,2,0.04,0.12,17.21,0,2,3,1.34,3,5,2,8.5,115,11.8,176,sed_0
SED_S19S.0085_M_Field,3,2.68,1,-15.83,-121.1,1,0.38,3,1,1,2,0.04,0.12,16.71,0,2,3,2.35,3,5,3,8.25,116,11.8,176,sed_0
SED_S19S.0086_D_Field,3,10.8,1,1,1,1,0.12,3,1,1,2,0.04,0.12,12.92,0,2,2,4.63,3,3,4,8,116,11.8,176,sed_0
SED_S19S.0086_M_Field,3,10.8,1,1,1,1,0.12,3,1,1,1,0.04,0.12,5.27,0,2,2,0.93,3,3,4,7,116,11.8,176,sed_2
SED_S19S.0086_U_Field,3,10.8,1,1,1,8,0.12,3,1,1,2,0.04,0.12,11.3,0,2,2,16.92,3,3,3,5,1602,8.7,368,sed_2
SED_S19S.0087_D_Field,3,1.1,1,-14.54,-112.2,4,0.14,6,1,3,1,0.04,0.21,30.17,10,2,18,1,3,2,2,3,1602,8.7,368,sed_1
SED_S19S.0087_U_Field,3,1.1,1,-14.54,-112.2,6,0.14,6,1,3,1,0.04,0.21,25.61,10,2,18,10.94,3,2,3,2,1602,8.7,368,sed_1
SED_S19S.0089_D_Field,3,36.8,3,-5.38,-34.4,8,0.16,2,2,1,1,0.04,2.83,22,2,1,13,1,3,1,1,15,176,11.8,1277,sed_0
SED_S19S.0089_U_Field,3,36.8,3,-5.38,-34.4,1,0.16,2,2,1,1,0.04,2.83,32.15,2,1,13,16.51,3,1,1,10,176,11.8,1277,sed_0
SED_S19S.0090_D_Field,3,20.52,1,1,1,1,0.02,8,2,2,1,0.04,22.87,16.07,0,3,21,13.31,1,1,4,6,176,11.8,1277,sed_2
SED_S19S.0090_M_Field,3,20.52,1,1,1,1,0.02,8,2,2,1,0.04,22.87,15.6,0,3,21,1.19,1,1,4,3,50,12.3,1347,sed_2
SED_S19S.0090_U_Field,3,20.52,1,1,1,1,0.02,8,2,2,1,0.04,22.87,9.21,0,3,21,1.5,1,1,4,5,50,12.3,1347,sed_2
SED_S19S.0091_D_Field,3,1.87,1,1,1,4,0.08,3,3,1,1,0.04,0.22,3.28,0,2,17,1,1,0,1,40,50,12.3,1347,sed_0
SED_S19S.0091_U_Field,3,1.87,1,1,1,4,0.08,3,3,1,1,0.04,0.22,1.67,0,2,17,1,1,0,1,30,1494,13.4,214,sed_0
SED_S19S.0092_D_Field,3,31.81,1,1,1,7,0.17,3,2,1,3,1.27,53.65,11.8,0,2,12,1,2,0,1,35,1494,13.4,214,sed_0
SED_S19S.0092_M_Field,3,31.81,1,1,1,4,0.17,3,2,1,1,1.27,53.65,38,0,2,12,1,2,0,4,37,1494,13.4,214,sed_1
SED_S19S.0092_U_Field,3,31.81,1,1,1,1,0.17,3,2,1,1,1.27,53.65,41.01,0,2,12,1,2,0,4,20,16,13,1053,sed_0
SED_S19S.0093_D_Field,3,24.96,3,-6.64,-44.5,4,0.15,8,2,1,1,0.04,31.27,25.04,0,1,11,1,1,0,4,7,16,13,1053,sed_0
SED_S19S.0093_M_Field,3,24.96,3,-6.64,-44.5,1,0.15,8,2,1,1,0.04,31.27,36.46,0,1,11,1,1,0,4,5,-3,13.3,1063,sed_1
SED_S19S.0093_U_Field,3,24.96,3,-6.64,-44.5,1,0.15,8,2,1,1,0.04,31.27,50.29,0,1,11,1,1,0,4,10,-3,13.3,1063,sed_1
SED_S19S.0094_D_Field,3,6.21,1,-2.14,-3.8,1,0.02,7,2,1,1,0.04,0.5,7.57,0,1,10,1,1,0,3,20.2,-3,13.3,1063,sed_0
SED_S19S.0094_M_Field,3,6.21,1,-2.14,-3.8,3,0.02,7,2,1,1,0.04,0.5,5.46,0,1,10,1,1,0,1,19,217,10.6,932,sed_0
SED_S19S.0094_U_Field,3,6.21,1,-2.14,-3.8,1,0.02,7,2,1,1,0.04,0.5,4.92,0,1,10,1,1,0,2,36.5,217,10.6,932,sed_2
SED_S19S.0096_M_Field,3,3.22,1,1,1,5,0.09,6,1,1,1,0.07,5.43,20.08,2,1,4,1,3,0,1,18,217,10.6,932,sed_0
SED_S19S.0097_D_Field,3,12.6,2,1,1,1,0.1,3,2,1,2,0.04,1.06,29.05,0,2,9,18.48,2,5,1,7.5,576,4.4,1204,sed_0
SED_S19S.0097_M_Field,3,12.6,2,1,1,1,0.1,3,2,1,3,0.04,1.06,16.42,0,2,9,8.77,2,5,1,25,576,4.4,1204,sed_0
SED_S19S.0097_U_Field,3,12.6,2,1,1,1,0.1,3,2,1,2,0.04,1.06,34.99,0,2,9,1,2,5,1,22,576,4.4,1204,sed_0
SED_S19S.0099_D_Field,3,70.55,1,-16.08,-122.8,6,0.33,6,1,3,1,0.04,4.43,8.65,0,2,2,1.75,3,7,1,23.37,947,9.7,438,sed_0
SED_S19S.0099_M_Field,3,70.55,1,-16.08,-122.8,1,0.33,6,1,3,1,0.04,4.43,14.18,0,2,2,2.77,3,7,1,19.2,947,9.7,438,sed_0
SED_S19S.0099_U_Field,3,70.55,1,-16.08,-122.8,1,0.33,6,1,3,1,0.04,4.43,6.77,0,2,2,1.36,3,7,1,20.47,947,9.7,438,sed_2
SED_S19S.0100_D_Field,3,0.22,1,-6.53,-43.3,3,0.09,2,1,1,1,0.04,0.12,12.65,8,1,18,12.08,3,2,1,18,1753,7.7,640,sed_2
SED_S19S.0100_M_Field,3,0.22,1,-6.53,-43.3,3,0.09,2,1,1,1,0.04,0.12,5.51,8,1,18,2.67,3,2,1,34,1753,7.7,640,sed_2
SED_S19S.0100_U_Field,3,0.22,1,-6.53,-43.3,1,0.09,2,1,1,1,0.04,0.12,4,8,1,18,1.43,3,2,1,2.9,1753,7.7,640,sed_2
