,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n.mf
C10H12O7,243.0510224,10,12,7,0,0,0,0,0,CHO,Tannin,244.0582988,0.016052574,1,0,0.230769231,5,-2,-2,54.6,242.7796294,0.220370588,0.2,0.7,1.2,0,0,NA,Tannin,Tannin,Other,54.6,-137.1784481,0.117093486,0.100964862,546,-1371.784481,1
C10H12O8,259.0459547,10,12,8,0,0,0,0,0,CHO,Tannin,260.0532312,-0.053029626,1,0,0.166666667,5,-3,-3,48.9,258.7567017,0.243298342,0.4,0.8,1.2,0,0,NA,Tannin,Tannin,Other,48.9,-134.8876794,0.118339131,0.104031913,489,-1348.876794,1
C10H13O12N2P,383.0134693,10,13,12,2,0,0,1,0,CHONP,Other,384.0207458,-0.35260031,3,0,0,6,-6,-9,26.1,382.5857931,0.41420692,1.2,1.2,1.3,0.2,0.1,2,Other,Other,Nucleotide,26.1,-125.7246047,0.140794973,0.117235673,261,-1257.246047,1
C10H13O4N,210.0771409,10,13,4,1,0,0,0,0,CHON,Lignin,211.0844173,0.192286717,1,0,0.285714286,5,1,0,66,209.8425668,0.157433157,-0.2,0.4,1.3,0.1,0,NA,Lignin,Lignin,Other,66,-137.7646011,0.114076155,0.10117382,660,-1377.646011,2
C10H13O4N5,266.089493,10,13,4,5,0,0,0,0,CHON,Lignin,267.0967695,-0.058294275,1,0,0,7,3,-2,31.8,265.7923751,0.20762487,1,0.4,1.3,0.5,0,NA,Lignin,Lignin,Protein,31.8,-108.0384517,0.134503539,0.128084524,318,-1080.384517,1
C10H13O5N,226.072077,10,13,5,1,0,0,0,0,CHON,Lignin,227.0793535,0.083759351,1,0,0.230769231,5,0,-1,60.3,225.8196429,0.180357055,0,0.5,1.3,0.1,0,NA,Lignin,Lignin,Other,60.3,-135.4738324,0.115696287,0.100063795,603,-1354.738324,1
C10H13O5N5,282.0844159,10,13,5,5,0,0,0,0,CHON,Lignin,283.0916924,-0.08424927,1,0,0,7,2,-3,26.1,281.769438,0.230562042,1.2,0.5,1.3,0.5,0,NA,Lignin,Lignin,Protein,26.1,-105.7476831,0.140794973,0.133053263,261,-1057.476831,1
C10H13O6N,242.0670034,10,13,6,1,0,0,0,0,CHON,Lignin,243.0742799,0.030007803,1,0,0.166666667,5,-1,-2,54.6,241.7967092,0.203290784,0.2,0.6,1.3,0.1,0,NA,Lignin,Lignin,Other,54.6,-133.1830638,0.117093486,0.102852204,546,-1331.830638,1
C10H13O6NS,274.0391096,10,13,6,1,0,1,0,0,CHONS,Lignin,275.0463861,-0.102754263,1,0,0,5,-1,-3,48.9,273.7331151,0.266884878,0.4,0.6,1.3,0.1,0,NA,Lignin,Lignin,Other,48.9,-134.8876794,0.118339131,0.104031913,489,-1348.876794,1
C10H13O7N,258.0619166,10,13,7,1,0,0,0,0,CHON,Tannin,259.0691931,0.033529808,1,0,0.090909091,5,-2,-3,48.9,257.7737624,0.226237618,0.4,0.7,1.3,0.1,0,NA,Tannin,Tannin,Other,48.9,-130.8922951,0.118339131,0.106087964,489,-1308.922951,1
