,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n.mf 
C13H27O10N,356.1562442,13,27,10,1,0,0,0,0,CHON,Carb,357.1635206,-0.068742417,1,0,0,1,-9,-10,69.06923077,355.7585569,0.241443066,-0.307692308,0.769230769,2.076923077,0.076923077,0,NA,Carbohydrate,Carbohydrate,Other,69.06923077,-139.9201037,0.077622135,0.071094079,897.9,-1818.961348,1
C13H27O10P,373.1270527,13,27,10,0,0,0,1,0,CHOP,Carb,374.1343292,-0.389049524,3,0,0,1,-9,-10,86.60769231,372.7104157,0.289584313,-0.923076923,0.769230769,2.076923077,0,0.076923077,0,Carbohydrate,Carbohydrate,Other,86.60769231,-156.1887404,0.060308294,0.05344666,1125.9,-2030.453625,1
C13H27O11P,389.1220096,13,27,11,0,0,0,1,0,CHOP,Carb,390.1292861,-0.48147251,4,0,0,1,-10,-11,82.22307692,388.6875125,0.312487523,-0.769230769,0.846153846,2.076923077,0,0.076923077,0,Carbohydrate,Carbohydrate,Carbohydrate,82.22307692,-154.4266106,0.064262584,0.05688789,1068.9,-2007.545938,1
C13H27O12N3S,448.1240507,13,27,12,3,0,1,0,0,CHONS,Carb,449.1313272,0.482797206,3,0,0,2,-10,-14,42.76153846,447.6236714,0.376328587,0.615384615,0.923076923,2.076923077,0.230769231,0,NA,Carbohydrate,Carbohydrate,Protein,42.76153846,-126.2739527,0.095165041,0.085358505,555.9,-1641.561385,1
C13H27O6N,292.1766109,13,27,6,1,0,0,0,0,CHON,Protein,293.1838874,-0.169868844,1,0,0,1,-5,-6,86.60769231,291.8503639,0.149636074,-0.923076923,0.461538462,2.076923077,0.076923077,0,NA,Other,Protein,Other,86.60769231,-146.9686227,0.060308294,0.055614589,1125.9,-1910.592095,1
C13H27O6N4P,365.159521,13,27,6,4,0,0,1,0,CHONP,Protein,366.1667975,0.064667007,2,0,0,3,-3,-8,77.83846154,364.7517806,0.248219399,-0.615384615,0.461538462,2.076923077,0.307692308,0.076923077,4,Other,Protein,Protein,77.83846154,-140.3709906,0.068451518,0.063750075,1011.9,-1824.822878,1
C13H27O7N,308.1715544,13,27,7,1,0,0,0,0,CHON,Protein,309.1788308,-0.254245361,1,0,0,1,-6,-7,82.22307692,307.8274473,0.172552744,-0.769230769,0.538461538,2.076923077,0.076923077,0,NA,Other,Protein,Other,82.22307692,-145.2064929,0.064262584,0.059172782,1068.9,-1887.684408,1
C13H27O7N2P,353.1484555,13,27,7,2,0,0,1,0,CHONP,Protein,354.155732,-0.407297656,2,0,0,2,-5,-8,86.60769231,352.7541268,0.245873199,-0.923076923,0.538461538,2.076923077,0.153846154,0.076923077,2,Other,Protein,Protein,86.60769231,-150.0419953,0.060308294,0.054883979,1125.9,-1950.545938,1
C13H27O8N,324.1664479,13,27,8,1,0,0,0,0,CHON,AminoSugar,325.1737243,-0.176731569,1,0,0,1,-7,-8,77.83846154,323.8044807,0.195519301,-0.615384615,0.615384615,2.076923077,0.076923077,0,NA,Other,Amino Sugar,Other,77.83846154,-143.4443632,0.068451518,0.062927297,1011.9,-1864.776722,1
C13H27O9N,340.1613194,13,27,9,1,0,0,0,0,CHON,AminoSugar,341.1685958,-0.042092538,1,0,0,1,-8,-9,73.45384615,339.7814922,0.218507803,-0.461538462,0.692307692,2.076923077,0.076923077,0,NA,Carbohydrate,Amino Sugar,Other,73.45384615,-141.6822335,0.072896622,0.066894843,954.9,-1841.869035,1
C13H28O4S,279.1635618,13,28,4,0,0,1,0,0,CHOS,Protein,280.1708382,-0.02910848,1,0,0,0,-4,-5,99.76153846,278.8518452,0.148154761,-1.384615385,0.307692308,2.153846154,0,0,NA,Other,Protein,Other,99.76153846,-158.4017571,0.049671421,0.044724645,1296.9,-2059.222842,1
C13H28O5S,295.1584873,13,28,5,0,0,1,0,0,CHOS,Protein,296.1657638,-0.064499428,1,0,0,0,-5,-6,95.37692308,294.8289107,0.171089269,-1.230769231,0.384615385,2.153846154,0,0,NA,Other,Protein,Other,95.37692308,-156.6396273,0.053028971,0.047715545,1239.9,-2036.315155,1
C13H28O6NP,324.1583105,13,28,6,1,0,0,1,0,CHONP,Protein,325.1655869,-0.50058748,1,0,0,1,-5,-7,99.76153846,323.7963524,0.203647612,-1.384615385,0.461538462,2.153846154,0.076923077,0.076923077,1,Other,Protein,Lipid,99.76153846,-158.4017571,0.049671421,0.044724645,1296.9,-2059.222842,1
C13H28O7N3P,368.1593344,13,28,7,3,0,0,1,0,CHONP,Protein,369.1666109,-0.336211438,1,0,0,2,-5,-9,82.22307692,367.7482444,0.251755572,-0.769230769,0.538461538,2.153846154,0.230769231,0.076923077,3,Other,Protein,Protein,82.22307692,-145.2064929,0.064262584,0.059172782,1068.9,-1887.684408,1
C13H28O7N4S,383.1607409,13,28,7,4,0,1,0,0,CHONS,Protein,384.1680174,-0.383804674,1,0,0,2,-5,-10,60.3,382.7329002,0.267099763,0,0.538461538,2.153846154,0.307692308,0,NA,Other,Protein,Protein,60.3,-130.2490991,0.088997143,0.082791064,783.9,-1693.238288,1
C13H28O7NP,340.1530783,13,28,7,1,0,0,1,0,CHONP,Protein,341.1603548,-0.046868071,1,0,0,1,-6,-8,95.37692308,339.7732603,0.226739675,-1.230769231,0.538461538,2.153846154,0.076923077,0.076923077,1,Other,Protein,Lipid,95.37692308,-156.6396273,0.053028971,0.047715545,1239.9,-2036.315155,1
C13H28O8N4S,399.1556054,13,28,8,4,0,1,0,0,CHONS,AminoSugar,400.1628818,-0.243035004,1,0,0,2,-6,-11,55.91538462,398.7099047,0.290095342,0.153846154,0.615384615,2.153846154,0.307692308,0,NA,Other,Amino Sugar,Protein,55.91538462,-128.4869693,0.089842636,0.082175261,726.9,-1670.330601,1
C13H29O10S2P,439.0865319,13,29,10,0,0,2,1,0,CHOSP,Other,440.0938084,0.378759416,5,0,0,0,-10,-13,82.22307692,438.5962439,0.403756059,-0.769230769,0.769230769,2.230769231,0,0.076923077,0,Other,Carbohydrate,Other,82.22307692,-160.5733558,0.064262584,0.055406781,1068.9,-2087.453625,2
C13H29O6N,294.1923036,13,29,6,1,0,0,0,0,CHON,Protein,295.19958,-0.312856497,1,0,0,0,-6,-7,90.99230769,293.8638058,0.136194197,-1.076923077,0.461538462,2.230769231,0.076923077,0,NA,Other,Protein,Other,90.99230769,-148.7307524,0.056569471,0.052237711,1182.9,-1933.499782,1
C13H29O7N,310.1872233,13,29,7,1,0,0,0,0,CHON,Protein,311.1944997,-0.313116066,1,0,0,0,-7,-8,86.60769231,309.8408654,0.159134561,-0.923076923,0.538461538,2.230769231,0.076923077,0,NA,Other,Protein,Other,86.60769231,-146.9686227,0.060308294,0.055614589,1125.9,-1910.592095,1
C13H29O9P,359.1478017,13,29,9,0,0,0,1,0,CHOP,Other,360.1550781,-0.441706864,1,0,0,0,-9,-10,95.37692308,358.746774,0.253225988,-1.230769231,0.692307692,2.230769231,0,0.076923077,0,Other,Other,Other,95.37692308,-159.7129999,0.053028971,0.047069214,1239.9,-2076.268998,1
C13H30O6N2,309.2031855,13,30,6,2,0,0,0,0,CHON,Other,310.210462,-0.242584362,1,0,0,0,-6,-8,86.60769231,308.8579265,0.142073548,-0.923076923,0.461538462,2.307692308,0.153846154,0,NA,Other,Other,Protein,86.60769231,-143.8952501,0.060308294,0.056353344,1125.9,-1870.638252,1
C13H30O6N4S,369.1814625,13,30,6,4,0,1,0,0,CHONS,Other,370.188739,-0.360899048,1,0,0,1,-5,-10,69.06923077,368.7692312,0.230768779,-0.307692308,0.461538462,2.307692308,0.307692308,0,NA,Other,Other,Protein,69.06923077,-133.7733586,0.077622135,0.072949628,897.9,-1739.053661,1
C13H30O8N4S,401.1713044,13,30,8,4,0,1,0,0,CHONS,Other,402.1785809,-0.363567397,1,0,0,1,-7,-12,60.3,400.7233529,0.27664706,0,0.615384615,2.307692308,0.307692308,0,NA,Other,Other,Protein,60.3,-130.2490991,0.088997143,0.082791064,783.9,-1693.238288,1
C13H30O8NS2P,422.1076439,13,30,8,1,0,2,1,0,CHONSP,Other,423.1149204,0.294128092,3,0,0,0,-8,-12,86.60769231,421.6363148,0.363685248,-0.923076923,0.615384615,2.307692308,0.076923077,0.076923077,1,Other,Other,Amino Sugar,86.60769231,-159.262113,0.060308294,0.052739692,1125.9,-2070.407468,2
C13H32O6N4S,371.1971513,13,32,6,4,0,1,0,0,CHONS,Other,372.2044277,-0.462794085,1,0,0,0,-6,-11,73.45384615,370.7826692,0.217330797,-0.461538462,0.461538462,2.461538462,0.307692308,0,NA,Other,Other,Protein,73.45384615,-135.5354883,0.072896622,0.068645978,954.9,-1761.961348,1
C13H32O7N4S,387.1920363,13,32,7,4,0,1,0,0,CHONS,Other,388.1993128,-0.367564355,1,0,0,0,-7,-12,69.06923077,386.7596942,0.240305773,-0.307692308,0.538461538,2.461538462,0.307692308,0,NA,Other,Other,Protein,69.06923077,-133.7733586,0.077622135,0.072949628,897.9,-1739.053661,1
C13H32O9N4,387.2096615,13,32,9,4,0,0,0,0,CHON,Other,388.2169379,-0.023934764,1,0,0,0,-9,-13,64.68461538,386.7772997,0.222700295,-0.153846154,0.692307692,2.461538462,0.307692308,0,NA,Other,Other,Protein,64.68461538,-128.9378563,0.088050569,0.086414782,840.9,-1676.192131,1
C13H4OS2,238.9629644,13,4,1,0,0,2,0,0,CHOS,ConHC,239.9702408,0.48042216,1,0.9,0.904761905,12,11,9,55.91538462,238.6961362,0.303863804,0.153846154,0.076923077,0.307692308,0,0,NA,Other,Cond Hydrocarbon,Other,55.91538462,-143.8538322,0.089842636,0.07499131,726.9,-1870.099818,2
C13H7O12N2P,412.966368,13,7,12,2,0,0,1,0,CHONP,ConHC,413.9736444,0.038103455,5,0,0.75,12,0,-3,20.83846154,412.505246,0.494753966,1.384615385,0.923076923,0.538461538,0.153846154,0.076923077,2,Other,Cond Hydrocarbon,Other,20.83846154,-123.6100491,0.1131237,0.092551102,270.9,-1606.930638,1
C13H7O4N3S2,331.9805852,13,7,4,3,0,2,0,0,CHONS,ConHC,332.9878617,-0.19394327,1,0.75,0.833333333,12,8,3,29.60769231,331.6098927,0.390107265,1.076923077,0.307692308,0.538461538,0.230769231,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,29.60769231,-124.060936,0.105280371,0.090252384,384.9,-1612.792168,1
C13H8O10,323.0044879,13,8,10,0,0,0,0,0,CHO,ConHC,324.0117644,-0.055217404,1,0,0.625,10,0,0,33.99230769,322.6438182,0.356181795,0.923076923,0.769230769,0.615384615,0,0,NA,Other,Cond Hydrocarbon,Other,33.99230769,-128.8964383,0.101702621,0.086582144,441.9,-1675.653698,1
C13H8O6,259.0248281,13,8,6,0,0,0,0,0,CHO,ConHC,260.0321046,-0.063714934,1,0.571428571,0.7,10,4,4,51.53076923,258.7355987,0.264401347,0.307692308,0.461538462,0.615384615,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,51.53076923,-135.9449573,0.090554469,0.078924117,669.9,-1767.284445,1
C13H8O7,275.0197425,13,8,7,0,0,0,0,0,CHO,ConHC,276.027019,-0.059408688,1,0.5,0.684210526,10,3,3,47.14615385,274.712653,0.287346958,0.461538462,0.538461538,0.615384615,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,47.14615385,-134.1828275,0.092177113,0.08076881,612.9,-1744.376758,1
C13H8O8,291.0146759,13,8,8,0,0,0,0,0,CHO,ConHC,292.0219523,-0.12021935,1,0.4,0.666666667,10,2,2,42.76153846,290.6897263,0.310273713,0.615384615,0.615384615,0.615384615,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,42.76153846,-132.4206978,0.095165041,0.082664625,555.9,-1721.469071,1
C13H8O9,307.0095853,13,8,9,0,0,0,0,0,CHO,ConHC,308.0168618,-0.097199405,1,0.25,0.647058824,10,1,1,38.37692308,306.6667757,0.333224318,0.769230769,0.692307692,0.615384615,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,38.37692308,-130.658568,0.098335595,0.084605525,498.9,-1698.561385,1
C14H10O10,337.0201415,14,10,10,0,0,0,0,0,CHO,ConHC,338.0274179,-0.06327861,1,0,0.555555556,10,0,0,39.94285714,336.6438218,0.356178236,0.714285714,0.714285714,0.714285714,0,0,NA,Tannin,Cond Hydrocarbon,Other,39.94285714,-131.2879001,0.090239901,0.07791427,559.2,-1838.030601,1
C14H10O11,353.0150696,14,10,11,0,0,0,0,0,CHO,ConHC,354.022346,-0.098514685,2,0,0.529411765,10,-1,-1,35.87142857,352.6208898,0.379110207,0.857142857,0.785714286,0.714285714,0,0,NA,Tannin,Cond Hydrocarbon,Other,35.87142857,-129.6516368,0.093075025,0.079607748,502.2,-1815.122915,1
C14H10O3,225.0557149,14,10,3,0,0,0,0,0,CHO,ConHC,226.0629913,0.012604758,1,0.636363636,0.68,10,7,7,68.44285714,224.8044156,0.195584351,-0.285714286,0.214285714,0.714285714,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,68.44285714,-142.7417434,0.073225234,0.065738958,958.2,-1998.384408,1
C14H10O4,241.0506299,14,10,4,0,0,0,0,0,CHO,ConHC,242.0579063,0.010223958,1,0.6,0.666666667,10,6,6,64.37142857,240.7814706,0.218529419,-0.142857143,0.285714286,0.714285714,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,64.37142857,-141.1054801,0.081826597,0.068568441,901.2,-1975.476722,1
C14H10O5,257.0455598,14,10,5,0,0,0,0,0,CHO,ConHC,258.0528363,-0.049858408,1,0.555555556,0.652173913,10,5,5,60.3,256.7585405,0.241459538,0,0.357142857,0.714285714,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,60.3,-139.4692168,0.082640205,0.070015188,844.2,-1952.569035,1
C14H10O6,273.040478,14,10,6,0,0,0,0,0,CHO,ConHC,274.0477544,-0.05975718,1,0.5,0.636363636,10,4,4,56.22857143,272.7355985,0.264401474,0.142857143,0.428571429,0.714285714,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,56.22857143,-137.8329534,0.083372943,0.071507892,787.2,-1929.661348,1
C14H10O7,289.0354029,14,10,7,0,0,0,0,0,CHO,ConHC,290.0426794,-0.092089595,1,0.428571429,0.619047619,10,3,3,52.15714286,288.7126634,0.287336594,0.285714286,0.5,0.714285714,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,52.15714286,-136.1966901,0.084000818,0.073046071,730.2,-1906.753661,1
C14H10O8,305.0303157,14,10,8,0,0,0,0,0,CHO,ConHC,306.0375921,-0.081141338,1,0.333333333,0.6,10,2,2,48.08571429,304.6897161,0.310283912,0.428571429,0.571428571,0.714285714,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,48.08571429,-134.5604268,0.085019372,0.074628412,673.2,-1883.845975,1
C14H10O9,321.0252313,14,10,9,0,0,0,0,0,CHO,ConHC,322.0325078,-0.080349897,1,0.2,0.578947368,10,1,1,44.01428571,320.6667717,0.333228313,0.571428571,0.642857143,0.714285714,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other,44.01428571,-132.9241634,0.087558067,0.076252471,616.2,-1860.938288,1
C14H12O10,339.0357996,14,12,10,0,0,0,0,0,CHO,Tannin,340.043076,-0.086539509,1,0,0.444444444,9,-1,-1,44.01428571,338.6572292,0.342770836,0.571428571,0.714285714,0.857142857,0,0,NA,Tannin,Tannin,Other,44.01428571,-132.9241634,0.087558067,0.076252471,616.2,-1860.938288,1
C14H12O11,355.0306981,14,12,11,0,0,0,0,0,CHO,Tannin,356.0379746,-0.03748277,3,0,0.411764706,9,-2,-2,39.94285714,354.6342677,0.365732342,0.714285714,0.785714286,0.857142857,0,0,NA,Tannin,Tannin,Other,39.94285714,-131.2879001,0.090239901,0.07791427,559.2,-1838.030601,1
C14H12O12,371.0255725,14,12,12,0,0,0,0,0,CHO,Tannin,372.032849,0.072150219,3,0,0.375,9,-3,-3,35.87142857,370.6112821,0.388717928,0.857142857,0.857142857,0.857142857,0,0,NA,Tannin,Tannin,Other,35.87142857,-129.6516368,0.093075025,0.079607748,502.2,-1815.122915,2
C14H12O5,259.0612028,14,12,5,0,0,0,0,0,CHO,Lignin,260.0684792,-0.022101953,1,0.444444444,0.565217391,9,4,4,64.37142857,258.7719327,0.228067277,-0.142857143,0.357142857,0.857142857,0,0,NA,Lignin,Lignin,Other,64.37142857,-141.1054801,0.081826597,0.068568441,901.2,-1975.476722,1
C14H12O6,275.0561155,14,12,6,0,0,0,0,0,CHO,Lignin,276.063392,-0.01391186,1,0.375,0.545454545,9,3,3,60.3,274.7489854,0.251014624,0,0.428571429,0.857142857,0,0,NA,Lignin,Lignin,Other,60.3,-139.4692168,0.082640205,0.070015188,844.2,-1952.569035,1
C14H12O7,291.0510416,14,12,7,0,0,0,0,0,CHO,Lignin,292.058318,-0.052327154,1,0.285714286,0.523809524,9,2,2,56.22857143,290.7260514,0.273948638,0.142857143,0.5,0.857142857,0,0,NA,Lignin,Lignin,Other,56.22857143,-137.8329534,0.083372943,0.071507892,787.2,-1929.661348,1
C14H12O8,307.0459779,14,12,8,0,0,0,0,0,CHO,Lignin,308.0532543,-0.119981622,1,0.166666667,0.5,9,1,1,52.15714286,306.7031276,0.296872426,0.285714286,0.571428571,0.857142857,0,0,NA,Lignin,Lignin,Other,52.15714286,-136.1966901,0.084000818,0.073046071,730.2,-1906.753661,1
C14H12O9,323.0408542,14,12,9,0,0,0,0,0,CHO,Lignin,324.0481307,0.003925568,1,0,0.473684211,9,0,0,48.08571429,322.6801439,0.319856059,0.428571429,0.642857143,0.857142857,0,0,NA,Lignin,Lignin,Other,48.08571429,-134.5604268,0.085019372,0.074628412,673.2,-1883.845975,1
C14H12ONS2P,304.0025109,14,12,1,1,0,2,1,0,CHONSP,UnsatHC,305.0097874,0.014736303,1,0.555555556,0.578947368,10,9,5,76.58571429,303.663059,0.336940979,-0.571428571,0.071428571,0.857142857,0.071428571,0.071428571,1,Unsat Hydrocarbon,Unsat Hydrocarbon,Phytochemical,76.58571429,-154.575808,0.064716231,0.056606702,1072.2,-2164.061312,1
C14H13O8N,322.0568903,14,13,8,1,0,0,0,0,CHON,Lignin,323.0641668,-0.155867895,1,0,0.444444444,9,1,0,48.08571429,321.6972787,0.302721313,0.428571429,0.571428571,0.928571429,0.071428571,0,NA,Lignin,Lignin,Other,48.08571429,-131.7065808,0.085019372,0.075687813,673.2,-1843.892131,1
C14H13O9N,338.0518396,14,13,9,1,0,0,0,0,CHON,Lignin,339.0591161,-0.250933473,1,0,0.411764706,9,0,-1,44.01428571,337.6743679,0.325632068,0.571428571,0.642857143,0.928571429,0.071428571,0,NA,Lignin,Lignin,Other,44.01428571,-130.0703175,0.087558067,0.077381664,616.2,-1820.984445,1
C14H14O10,341.0514621,14,14,10,0,0,0,0,0,CHO,Tannin,342.0587386,-0.122569606,1,0,0.333333333,8,-2,-2,48.08571429,340.670641,0.32935898,0.428571429,0.714285714,1,0,0,NA,Tannin,Tannin,Other,48.08571429,-134.5604268,0.085019372,0.074628412,673.2,-1883.845975,1
C14H14O11,357.046323,14,14,11,0,0,0,0,0,CHO,Tannin,358.0535995,0.032969367,3,0,0.294117647,8,-3,-3,44.01428571,356.6476419,0.352358093,0.571428571,0.785714286,1,0,0,NA,Tannin,Tannin,Other,44.01428571,-132.9241634,0.087558067,0.076252471,616.2,-1860.938288,2
C14H14O4,245.0819342,14,14,4,0,0,0,0,0,CHO,Lignin,246.0892107,-0.007207179,1,0.4,0.5,8,4,4,72.51428571,244.8082736,0.191726433,-0.428571429,0.285714286,1,0,0,NA,Lignin,Lignin,Other,72.51428571,-144.3780068,0.068607262,0.062125251,1015.2,-2021.292095,1
C14H14O5,261.0768598,14,14,5,0,0,0,0,0,CHO,Lignin,262.0841363,-0.048570481,1,0.333333333,0.47826087,8,3,3,68.44285714,260.7853391,0.214660931,-0.285714286,0.357142857,1,0,0,NA,Lignin,Lignin,Other,68.44285714,-142.7417434,0.073225234,0.065738958,958.2,-1998.384408,1
C14H14O5N4S,349.06108,14,14,5,4,0,1,0,0,CHONS,Lignin,350.0683565,0.382128879,2,0,0.384615385,10,5,0,39.94285714,348.6713153,0.328684688,0.714285714,0.357142857,1,0.285714286,0,NA,Lignin,Lignin,Protein,39.94285714,-122.7263622,0.090239901,0.081584939,559.2,-1718.169071,1
C14H14O6,277.0717892,14,14,6,0,0,0,0,0,CHO,Lignin,278.0790657,-0.098789663,1,0.25,0.454545455,8,2,2,64.37142857,276.7624084,0.237591649,-0.142857143,0.428571429,1,0,0,NA,Lignin,Lignin,Other,64.37142857,-141.1054801,0.081826597,0.068568441,901.2,-1975.476722,1
C14H14O6N3P,350.0547558,14,14,6,3,0,0,1,0,CHONP,Lignin,351.0620323,-0.030041967,1,0,0.428571429,10,4,0,56.22857143,349.6638815,0.33611848,0.142857143,0.428571429,1,0.214285714,0.071428571,3,Lignin,Lignin,Protein,56.22857143,-134.9791075,0.083372943,0.072445808,787.2,-1889.707505,1
C14H14O6N4S,365.0559626,14,14,6,4,0,1,0,0,CHONS,Lignin,366.0632391,0.45300916,3,0,0.333333333,10,4,-1,35.87142857,364.6483378,0.351662153,0.857142857,0.428571429,1,0.285714286,0,NA,Lignin,Lignin,Protein,35.87142857,-121.0900989,0.093075025,0.08353926,502.2,-1695.261385,2
C14H14O7,293.0667099,14,14,7,0,0,0,0,0,CHO,Lignin,294.0739864,-0.114206127,1,0.142857143,0.428571429,8,1,1,60.3,292.739469,0.260530984,0,0.5,1,0,0,NA,Lignin,Lignin,Other,60.3,-139.4692168,0.082640205,0.070015188,844.2,-1952.569035,1
C14H14O8,309.0616036,14,14,8,0,0,0,0,0,CHO,Lignin,310.0688801,-0.040843132,1,0,0.4,8,0,0,56.22857143,308.7165027,0.283497324,0.142857143,0.571428571,1,0,0,NA,Lignin,Lignin,Other,56.22857143,-137.8329534,0.083372943,0.071507892,787.2,-1929.661348,1
C14H14O9,325.0565425,14,14,9,0,0,0,0,0,CHO,Lignin,326.063819,-0.113370004,1,0,0.368421053,8,-1,-1,52.15714286,324.6935815,0.306418492,0.285714286,0.642857143,1,0,0,NA,Lignin,Lignin,Other,52.15714286,-136.1966901,0.084000818,0.073046071,730.2,-1906.753661,1
C14H15O7N,308.0775973,14,15,7,1,0,0,0,0,CHON,Lignin,309.0848738,-0.071019269,1,0,0.368421053,8,1,0,56.22857143,307.7335951,0.266404872,0.142857143,0.5,1.071428571,0.071428571,0,NA,Lignin,Lignin,Other,56.22857143,-134.9791075,0.083372943,0.072445808,787.2,-1889.707505,1
C14H15O8N,324.0725027,14,15,8,1,0,0,0,0,CHON,Lignin,325.0797792,-0.03915613,1,0,0.333333333,8,0,-1,52.15714286,323.7106405,0.289359526,0.285714286,0.571428571,1.071428571,0.071428571,0,NA,Lignin,Lignin,Other,52.15714286,-133.3428441,0.084000818,0.074041957,730.2,-1866.799818,1
C14H15O9N,340.0674792,14,15,9,1,0,0,0,0,CHON,Lignin,341.0747557,-0.218777338,1,0,0.294117647,8,-1,-2,48.08571429,339.6877569,0.312243147,0.428571429,0.642857143,1.071428571,0.071428571,0,NA,Lignin,Lignin,Other,48.08571429,-131.7065808,0.085019372,0.075687813,673.2,-1843.892131,1
C14H16O10,343.067113,14,16,10,0,0,0,0,0,CHO,Tannin,344.0743895,-0.124247337,2,0,0.222222222,7,-3,-3,52.15714286,342.6840412,0.315958785,0.285714286,0.714285714,1.142857143,0,0,NA,Tannin,Tannin,Other,52.15714286,-136.1966901,0.084000818,0.073046071,730.2,-1906.753661,1
C14H16O10S,375.0392564,14,16,10,0,0,1,0,0,CHOS,Tannin,376.0465329,-0.307072978,3,0,0.125,7,-3,-4,48.08571429,374.6204842,0.379515753,0.428571429,0.714285714,1.142857143,0,0,NA,Tannin,Tannin,Other,48.08571429,-137.4142727,0.085019372,0.073582975,673.2,-1923.799818,2
C14H16O11,359.0619959,14,16,11,0,0,0,0,0,CHO,Tannin,360.0692724,-0.030587486,4,0,0.176470588,7,-4,-4,48.08571429,358.6610641,0.338935929,0.428571429,0.785714286,1.142857143,0,0,NA,Tannin,Tannin,Other,48.08571429,-134.5604268,0.085019372,0.074628412,673.2,-1883.845975,1
C14H16O12,375.0569615,14,16,12,0,0,0,0,0,CHO,Tannin,376.0642379,-0.164772106,3,0,0.125,7,-5,-5,44.01428571,374.6381695,0.361830477,0.571428571,0.857142857,1.142857143,0,0,NA,Tannin,Tannin,Other,44.01428571,-132.9241634,0.087558067,0.076252471,616.2,-1860.938288,2
C14H16O4,247.0975945,14,16,4,0,0,0,0,0,CHO,Lignin,248.1048709,-0.048036832,1,0.3,0.416666667,7,3,3,76.58571429,246.8216831,0.178316928,-0.571428571,0.285714286,1.142857143,0,0,NA,Lignin,Lignin,Other,76.58571429,-146.0142701,0.064716231,0.058697064,1072.2,-2044.199782,1
C14H16O4N2,275.1037747,14,16,4,2,0,0,0,0,CHON,Lignin,276.1110511,-0.159827756,1,0.25,0.4,8,4,2,64.37142857,274.7965913,0.203408657,-0.142857143,0.285714286,1.142857143,0.142857143,0,NA,Lignin,Lignin,Protein,64.37142857,-135.3977882,0.081826597,0.073742463,901.2,-1895.569035,1
C14H16O5,263.0924815,14,16,5,0,0,0,0,0,CHO,Lignin,264.099758,0.059212542,1,0.222222222,0.391304348,7,2,2,72.51428571,262.7987101,0.201289896,-0.428571429,0.357142857,1.142857143,0,0,NA,Lignin,Lignin,Other,72.51428571,-144.3780068,0.068607262,0.062125251,1015.2,-2021.292095,2
C14H16O5N2,291.0986884,14,16,5,2,0,0,0,0,CHON,Lignin,292.1059649,-0.148063775,1,0.142857143,0.368421053,8,3,1,60.3,290.773645,0.226354978,0,0.357142857,1.142857143,0.142857143,0,NA,Lignin,Lignin,Protein,60.3,-133.7615249,0.082640205,0.073231581,844.2,-1872.661348,1
C14H16O6,279.0874539,14,16,6,0,0,0,0,0,CHO,Lignin,280.0947304,-0.150401662,1,0.125,0.363636364,7,1,1,68.44285714,278.7758224,0.224177638,-0.285714286,0.428571429,1.142857143,0,0,NA,Lignin,Lignin,Other,68.44285714,-142.7417434,0.073225234,0.065738958,958.2,-1998.384408,1
C14H16O7,295.0823376,14,16,7,0,0,0,0,0,CHO,Lignin,296.0896141,-0.037942512,1,0,0.333333333,7,0,0,64.37142857,294.7528461,0.247153939,-0.142857143,0.5,1.142857143,0,0,NA,Lignin,Lignin,Other,64.37142857,-141.1054801,0.081826597,0.068568441,901.2,-1975.476722,1
C14H16O8,311.0772659,14,16,8,0,0,0,0,0,CHO,Lignin,312.0845424,-0.079809978,1,0,0.3,7,-1,-1,60.3,310.7299143,0.270085723,0,0.571428571,1.142857143,0,0,NA,Lignin,Lignin,Other,60.3,-139.4692168,0.082640205,0.070015188,844.2,-1952.569035,1
C14H16O9,327.0722018,14,16,9,0,0,0,0,0,CHO,Lignin,328.0794783,-0.140685263,1,0,0.263157895,7,-2,-2,56.22857143,326.7069901,0.293009941,0.142857143,0.642857143,1.142857143,0,0,NA,Lignin,Lignin,Other,56.22857143,-137.8329534,0.083372943,0.071507892,787.2,-1929.661348,1
