"","Mass","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class","delGcox0PerCmol","delGcoxPerCmol","lamO20","lamO2","delGd0","delGd","n.mf"
"C10H12O5N2",239.0673352,10,12,5,2,0,0,0,0,"CHON","Lignin",240.0746116,0.041150602,1,0,0.272727273,6,1,-1,48.9,238.8003904,0.199609562,0.4,0.5,1.2,0.2,0,NA,"Lignin","Lignin","Protein",48.9,-126.896910762979,0.11833913086197,0.108182684981251,489,-1268.96910762979,1
"C10H12O5S",243.0332768,10,12,5,0,0,1,0,0,"CHOS","Lignin",244.0405532,-0.037010985,1,0,0.230769231,5,0,-1,60.3,242.7619036,0.238096377,0,0.5,1.2,0,0,NA,"Lignin","Lignin","Other",60.3,-143.464601111634,0.115696286540446,0.0963119604899059,603,-1434.64601111634,1
"C10H12O6",227.056079,10,12,6,0,0,0,0,0,"CHO","Lignin",228.0633554,0.143303379,1,0,0.285714286,5,-1,-1,60.3,226.8025461,0.197453878,0,0.6,1.2,0,0,NA,"Lignin","Lignin","Other",60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112,2
"C10H12O6N2",255.0622462,10,12,6,2,0,0,0,0,"CHON","Lignin",256.0695227,0.052402299,1,0,0.2,6,0,-2,43.2,254.7774415,0.22255854,0.6,0.6,1.2,0.2,0,NA,"Lignin","Lignin","Protein",43.2,-124.606142091934,0.123315729873717,0.111755883346237,432,-1246.06142091934,1
"C10H12O6S",259.0282061,10,12,6,0,0,1,0,0,"CHOS","Lignin",260.0354825,-0.091180335,1,0,0.166666667,5,-1,-2,54.6,258.7389728,0.261027158,0.2,0.6,1.2,0,0,NA,"Lignin","Lignin","Other",54.6,-141.17383244059,0.117093485793403,0.0991106144174278,546,-1411.7383244059,1
"C10H12O7",243.0510224,10,12,7,0,0,0,0,0,"CHO","Tannin",244.0582988,0.016052574,1,0,0.230769231,5,-2,-2,54.6,242.7796294,0.220370588,0.2,0.7,1.2,0,0,NA,"Tannin","Tannin","Other",54.6,-137.178448105068,0.117093485793403,0.100964862168865,546,-1371.78448105068,1
"C10H12O7S",275.0231068,10,12,7,0,0,1,0,0,"CHOS","Tannin",276.0303832,-0.035535217,1,0,0.090909091,5,-2,-3,48.9,274.7160135,0.283986486,0.4,0.7,1.2,0,0,NA,"Tannin","Tannin","Other",48.9,-138.883063769545,0.11833913086197,0.102013469450368,489,-1388.83063769545,1
"C10H12O8",259.0459547,10,12,8,0,0,0,0,0,"CHO","Tannin",260.0532312,-0.053029626,1,0,0.166666667,5,-3,-3,48.9,258.7567017,0.243298342,0.4,0.8,1.2,0,0,NA,"Tannin","Tannin","Other",48.9,-134.887679434023,0.11833913086197,0.104031912902608,489,-1348.87679434023,1
"C10H12O8S",291.0180075,10,12,8,0,0,1,0,0,"CHOS","Tannin",292.025284,0.013842176,1,0,0,5,-3,-4,43.2,290.6930542,0.306945764,0.6,0.8,1.2,0,0,NA,"Tannin","Tannin","Other",43.2,-136.592295098501,0.123315729873717,0.105009305453483,432,-1365.92295098501,1
"C10H12O9",275.0408652,10,12,9,0,0,0,0,0,"CHO","Tannin",276.0481417,-0.035033309,1,0,0.090909091,5,-4,-4,43.2,274.7337521,0.266247899,0.6,0.9,1.2,0,0,NA,"Tannin","Tannin","Other",43.2,-132.596910762979,0.123315729873717,0.10721476065314,432,-1325.96910762979,1
"C10H13O4N",210.0771409,10,13,4,1,0,0,0,0,"CHON","Lignin",211.0844173,0.192286717,1,0,0.285714286,5,1,0,66,209.8425668,0.157433157,-0.2,0.4,1.3,0.1,0,NA,"Lignin","Lignin","Other",66,-137.764601111634,0.114076154533263,0.101173819704439,660,-1377.64601111634,2
"C10H13O5N",226.072077,10,13,5,1,0,0,0,0,"CHON","Lignin",227.0793535,0.083759351,1,0,0.230769231,5,0,-1,60.3,225.8196429,0.180357055,0,0.5,1.3,0.1,0,NA,"Lignin","Lignin","Other",60.3,-135.47383244059,0.115696286540446,0.10006379479783,603,-1354.7383244059,1
"C10H13O6N",242.0670034,10,13,6,1,0,0,0,0,"CHON","Lignin",243.0742799,0.030007803,1,0,0.166666667,5,-1,-2,54.6,241.7967092,0.203290784,0.2,0.6,1.3,0.1,0,NA,"Lignin","Lignin","Other",54.6,-133.183063769545,0.117093485793403,0.102852204446593,546,-1331.83063769545,1
"C10H13O7N",258.0619166,10,13,7,1,0,0,0,0,"CHON","Tannin",259.0691931,0.033529808,1,0,0.090909091,5,-2,-3,48.9,257.7737624,0.226237618,0.4,0.7,1.3,0.1,0,NA,"Tannin","Tannin","Other",48.9,-130.892295098501,0.11833913086197,0.10608796442409,489,-1308.92295098501,1
"C10H13O8N",274.0568533,10,13,8,1,0,0,0,0,"CHON","Tannin",275.0641298,-0.048649041,1,0,0,5,-3,-4,43.2,273.750839,0.249161017,0.6,0.8,1.3,0.1,0,NA,"Tannin","Tannin","Other",43.2,-128.601526427456,0.123315729873717,0.109463197008941,432,-1286.01526427456,1
"C10H14O5",213.0768216,10,14,5,0,0,0,0,0,"CHO","Lignin",214.084098,0.119223487,1,0,0.2,4,-1,-1,71.7,212.8388981,0.161101913,-0.4,0.5,1.4,0,0,NA,"Lignin","Lignin","Other",71.7,-144.050754118201,0.0971772361292719,0.0879657503467777,717,-1440.50754118201,2
"C10H14O5N2",241.0829909,10,14,5,2,0,0,0,0,"CHON","Lignin",242.0902674,0.017428202,1,0,0.090909091,5,0,-2,54.6,240.8137955,0.186204537,0.2,0.5,1.4,0.2,0,NA,"Lignin","Lignin","Protein",54.6,-129.187679434023,0.117093485793402,0.104773535232802,546,-1291.87679434023,2
"C10H14O5S",245.0489119,10,14,5,0,0,1,0,0,"CHOS","Lignin",246.0561884,0.023962293,1,0,0.076923077,4,-1,-2,66,244.7752881,0.224711917,-0.2,0.5,1.4,0,0,NA,"Lignin","Lignin","Other",66,-145.755369782679,0.114076154533263,0.0936229287126429,660,-1457.55369782679,1
"C10H14O6",229.0717413,10,14,6,0,0,0,0,0,"CHO","Lignin",230.0790177,0.088910171,1,0,0.142857143,4,-2,-2,66,228.8159577,0.184042294,-0.2,0.6,1.4,0,0,NA,"Lignin;Amino Sugar","Lignin","Other",66,-141.759985447157,0.114076154533263,0.0959325659567618,660,-1417.59985447157,1
"C10H14O6N2",257.0779166,10,14,6,2,0,0,0,0,"CHON","Lignin",258.085193,-0.026506923,1,0,0,5,-1,-3,48.9,256.7908611,0.209138932,0.4,0.6,1.4,0.2,0,NA,"Lignin;Amino Sugar","Lignin","Protein",48.9,-126.896910762979,0.11833913086197,0.108182684981251,489,-1268.96910762979,1
"C10H14O6S",261.04386,10,14,6,0,0,1,0,0,"CHOS","Lignin",262.0511364,-0.105125642,1,0,0,4,-2,-3,60.3,260.752376,0.247623953,0,0.6,1.4,0,0,NA,"Lignin;Amino Sugar","Lignin","Other",60.3,-143.464601111634,0.115696286540446,0.0963119604899059,603,-1434.64601111634,1
"C10H14O7",245.0666847,10,14,7,0,0,0,0,0,"CHO","Tannin",246.0739612,-0.034132654,1,0,0.076923077,4,-3,-3,60.3,244.7930411,0.206958913,0,0.7,1.4,0,0,NA,"Amino Sugar","Tannin","Other",60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112,1
