,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
SED_S19S.0040_U_Field,140,65,147,606,251,23,625,86,42
SED_S19S.0041_D_Field,175,69,114,665,230,28,698,111,63
SED_S19S.0041_M_Field,131,38,98,504,274,24,632,44,56
SED_S19S.0041_U_Field,168,64,129,687,233,23,681,109,56
SED_S19S.0042_D_Field,109,26,168,783,213,22,561,161,54
SED_S19S.0042_M_Field,96,23,176,676,270,16,544,141,40
SED_S19S.0042_U_Field,117,27,186,782,227,16,577,154,45
SED_S19S.0043_D_Field,123,45,154,610,175,24,514,107,14
SED_S19S.0043_M_Field,179,51,165,726,215,15,753,116,62
SED_S19S.0043_U_Field,182,69,215,789,196,11,686,147,48
SED_S19S.0044_D_Field,114,32,176,664,241,25,548,95,47
SED_S19S.0044_M_Field,126,33,247,832,132,16,591,212,32
SED_S19S.0044_U_Field,104,35,234,798,191,21,555,139,39
SED_S19S.0045_M_Field,86,18,71,383,104,18,382,73,15
SED_S19S.0046_D_Field,196,78,76,348,222,33,767,51,62
SED_S19S.0047_D_Field,83,27,157,590,171,18,438,120,19
SED_S19S.0049_D_Field,203,77,93,540,204,32,830,62,137
SED_S19S.0049_M_Field,156,46,86,401,210,26,693,49,85
SED_S19S.0049_U_Field,195,87,85,529,201,27,827,82,94
SED_S19S.0050_D_Field,81,21,147,481,172,23,484,146,29
SED_S19S.0050_M_Field,61,15,136,512,227,27,429,140,32
SED_S19S.0050_U_Field,80,20,224,741,196,22,576,205,68
SED_S19S.0051_M_Field,52,18,125,514,229,19,394,138,19
SED_S19S.0051_U_Field,60,13,125,462,133,20,354,138,22
SED_S19S.0052_D_Field,132,32,102,408,204,31,574,95,63
SED_S19S.0052_M_Field,128,38,109,480,284,31,678,57,82
SED_S19S.0052_U_Field,138,29,161,493,265,24,672,134,75
SED_S19S.0053_D_Field,166,66,208,596,202,26,693,182,81
SED_S19S.0053_M_Field,121,36,226,512,218,17,605,179,49
SED_S19S.0053_U_Field,162,55,221,599,214,22,667,204,56
SED_S19S.0054_D_Field,147,61,126,777,258,21,686,75,35
SED_S19S.0054_M_Field,142,79,132,760,268,20,700,90,39
SED_S19S.0054_U_Field,140,69,142,741,169,19,532,104,25
SED_S19S.0055_D_Field,108,30,101,446,253,20,490,67,22
SED_S19S.0055_M_Field,97,27,106,465,208,24,536,57,28
SED_S19S.0055_U_Field,122,52,70,403,213,27,537,45,21
SED_S19S.0056_D_Field,162,66,188,708,213,24,700,148,41
SED_S19S.0056_M_Field,170,61,201,735,197,30,754,173,113
SED_S19S.0056_U_Field,207,79,206,821,220,25,850,174,92
SED_S19S.0057_D_Field,87,20,219,666,197,21,504,171,58
SED_S19S.0057_M_Field,114,27,208,585,196,21,510,164,67
SED_S19S.0057_U_Field,118,30,173,472,162,23,567,146,72
SED_S19S.0058_D_Field,144,71,134,611,221,25,701,98,92
SED_S19S.0058_U_Field,169,82,152,681,296,35,834,116,85
SED_S19S.0059_D_Field,43,15,51,289,197,17,376,23,18
SED_S19S.0059_M_Field,102,28,96,589,226,25,646,85,77
SED_S19S.0059_U_Field,70,14,38,288,131,13,327,25,15
SED_S19S.0060_D_Field,144,48,83,503,237,21,661,61,64
SED_S19S.0060_M_Field,184,59,74,546,266,27,765,54,112
SED_S19S.0060_U_Field,178,64,93,571,221,24,789,89,105
SED_S19S.0061_D_Field,158,54,211,672,183,20,615,134,58
SED_S19S.0061_M_Field,174,92,177,709,211,24,668,118,52
SED_S19S.0061_U_Field,37,4,47,184,100,12,203,13,4
SED_S19S.0062_D_Field,165,54,187,784,274,27,799,188,64
SED_S19S.0062_M_Field,149,52,161,742,251,22,773,166,84
SED_S19S.0062_U_Field,198,71,226,847,238,27,830,204,61
SED_S19S.0063_D_Field,93,19,55,221,190,20,563,15,41
SED_S19S.0063_M_Field,183,59,148,613,215,30,725,123,65
SED_S19S.0063_U_Field,138,44,107,453,199,26,574,84,33
SED_S19S.0064_D_Field,131,32,156,539,255,23,649,144,60
SED_S19S.0064_M_Field,120,45,157,641,255,20,631,153,62
SED_S19S.0064_U_Field,75,13,53,363,190,19,442,59,23
SED_S19S.0065_D_Field,216,97,189,717,201,31,779,151,56
SED_S19S.0065_M_Field,194,75,137,617,266,36,812,108,77
SED_S19S.0065_U_Field,164,65,142,579,274,37,734,83,58
SED_S19S.0066_D_Field,198,72,184,668,195,32,743,161,64
SED_S19S.0066_M_Field,141,51,167,642,207,15,619,134,23
SED_S19S.0066_U_Field,138,53,182,685,232,17,696,156,38
SED_S19S.0067_D_Field,73,25,177,444,217,18,410,94,33
SED_S19S.0067_M_Field,148,53,205,618,178,21,626,116,57
SED_S19S.0068_M_Field,215,85,149,707,223,42,881,177,129
SED_S19S.0068_U_Field,165,47,116,468,196,29,684,105,65
SED_S19S.0069_D_Field,183,62,159,617,220,35,794,151,96
SED_S19S.0069_M_Field,212,70,165,671,204,31,838,164,119
SED_S19S.0069_U_Field,206,70,158,623,228,39,865,157,132
SED_S19S.0070_D_Field,188,63,172,671,232,42,770,162,85
SED_S19S.0070_M_Field,197,63,160,619,169,24,721,166,71
SED_S19S.0070_U_Field,202,66,214,742,202,34,786,185,97
SED_S19S.0071_M_Field,140,49,138,643,224,30,654,102,75
SED_S19S.0071_U_Field,123,29,95,571,220,31,604,57,49
SED_S19S.0072_M_Field,177,62,195,560,199,20,695,147,65
SED_S19S.0072_U_Field,163,49,247,692,197,20,706,187,64
SED_S19S.0073_D_Field,119,31,260,680,207,14,593,161,47
SED_S19S.0073_M_Field,106,28,262,669,186,10,513,169,56
SED_S19S.0073_U_Field,107,28,247,661,215,16,583,161,62
SED_S19S.0074_M_Field,168,61,97,498,272,26,733,98,78
SED_S19S.0074_U_Field,188,67,91,548,216,22,750,95,89
SED_S19S.0075_D_Field,146,55,108,413,231,37,647,62,91
SED_S19S.0075_M_Field,161,59,96,481,275,30,739,73,96
SED_S19S.0076_D_Field,153,60,68,437,187,16,587,71,63
SED_S19S.0076_M_Field,140,56,63,425,231,32,626,57,43
SED_S19S.0076_U_Field,177,85,86,572,199,22,707,125,53
SED_S19S.0077_M_Field,174,54,101,589,253,42,771,94,107
SED_S19S.0077_U_Field,196,70,93,555,201,21,780,80,108
SED_S19S.0078_D_Field,157,43,145,667,247,27,753,140,98
SED_S19S.0078_M_Field,153,51,121,498,204,19,675,73,50
SED_S19S.0078_U_Field,191,75,179,674,185,28,750,179,65
SED_S19S.0079_D_Field,20,8,12,79,40,1,70,20,2
SED_S19S.0080_D_Field,213,69,211,722,180,24,747,186,55
SED_S19S.0080_M_Field,153,57,152,554,195,18,565,138,23
SED_S19S.0080_U_Field,127,43,99,524,179,14,562,94,26
SED_S19S.0081_M_Field,191,73,121,617,209,28,776,129,88
SED_S19S.0081_U_Field,113,26,80,415,238,23,518,60,30
SED_S19S.0082_D_Field,114,32,179,705,195,17,580,134,45
SED_S19S.0082_M_Field,132,39,141,778,189,17,575,131,50
SED_S19S.0082_U_Field,111,36,108,594,216,22,563,94,50
SED_S19S.0083_D_Field,156,55,171,492,251,23,695,117,72
SED_S19S.0083_M_Field,127,55,121,569,221,17,519,117,35
SED_S19S.0084_D_Field,155,55,190,609,215,25,713,194,75
SED_S19S.0084_M_Field,101,29,171,482,208,30,544,168,51
SED_S19S.0084_U_Field,159,45,194,588,199,23,708,193,75
SED_S19S.0085_D_Field,119,45,69,298,240,25,646,26,64
SED_S19S.0085_M_Field,152,55,63,410,255,25,721,35,50
SED_S19S.0086_D_Field,161,51,84,497,241,31,718,74,68
SED_S19S.0086_M_Field,189,71,109,650,194,20,779,97,101
SED_S19S.0086_U_Field,170,64,159,545,172,22,677,127,47
SED_S19S.0087_D_Field,61,12,41,170,144,18,310,18,14
SED_S19S.0087_U_Field,62,16,50,229,182,21,416,31,20
SED_S19S.0089_D_Field,117,42,75,418,288,26,599,35,47
SED_S19S.0089_U_Field,112,37,119,491,269,21,613,56,83
SED_S19S.0090_D_Field,127,47,247,540,188,16,553,172,36
SED_S19S.0090_M_Field,137,46,233,557,195,12,583,186,51
SED_S19S.0090_U_Field,181,67,231,621,148,16,686,201,57
SED_S19S.0091_D_Field,198,70,87,430,240,27,782,62,67
SED_S19S.0091_U_Field,206,80,74,344,171,26,647,34,63
SED_S19S.0092_D_Field,99,41,138,541,277,34,538,105,33
SED_S19S.0092_M_Field,67,26,67,284,135,27,299,56,23
SED_S19S.0092_U_Field,144,67,147,683,223,27,536,137,34
SED_S19S.0093_D_Field,91,18,203,747,207,29,522,200,29
SED_S19S.0093_M_Field,53,12,61,324,154,19,299,85,10
SED_S19S.0093_U_Field,34,16,68,300,174,25,244,79,13
SED_S19S.0094_D_Field,170,56,48,446,150,25,666,35,45
SED_S19S.0094_M_Field,133,34,62,441,147,27,620,23,42
SED_S19S.0094_U_Field,171,61,135,726,220,27,829,141,67
SED_S19S.0096_M_Field,141,49,63,285,252,26,593,24,46
SED_S19S.0097_D_Field,138,39,93,432,270,25,645,38,60
SED_S19S.0097_M_Field,122,39,76,414,211,19,697,57,55
SED_S19S.0097_U_Field,153,62,88,472,261,24,652,73,54
SED_S19S.0099_D_Field,190,67,88,450,269,26,816,41,118
SED_S19S.0099_M_Field,191,64,87,441,271,21,762,48,87
SED_S19S.0099_U_Field,217,96,68,471,198,21,780,68,94
SED_S19S.0100_D_Field,179,60,155,602,201,34,695,119,64
SED_S19S.0100_M_Field,183,71,121,563,215,29,762,86,90
SED_S19S.0100_U_Field,189,67,245,639,160,23,727,180,70
