,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC
SW_S19S.0076_U_2,90.0,37.0,275.0,1512.0,48.0,15.0,272.0,413.0,27.0
SW_S19S.0076_U_3,113.0,47.0,359.0,1656.0,46.0,9.0,317.0,470.0,38.0
SW_S19S.0077_U_1,70.0,27.0,373.0,1494.0,37.0,8.0,235.0,419.0,27.0
SW_S19S.0077_U_2,57.0,11.0,214.0,1072.0,29.0,9.0,160.0,319.0,10.0
SW_S19S.0077_U_3,67.0,23.0,316.0,1351.0,34.0,11.0,202.0,400.0,14.0
SW_S19S.0078_U_1,83.0,26.0,352.0,1455.0,73.0,19.0,302.0,457.0,20.0
SW_S19S.0078_U_2,72.0,17.0,316.0,1366.0,76.0,15.0,278.0,412.0,18.0
SW_S19S.0078_U_3,87.0,22.0,334.0,1503.0,80.0,17.0,322.0,441.0,26.0
SW_S19S.0079_U_1,114.0,56.0,249.0,1359.0,79.0,14.0,343.0,365.0,13.0
SW_S19S.0079_U_2,106.0,51.0,286.0,1439.0,69.0,17.0,354.0,368.0,16.0
SW_S19S.0079_U_3,106.0,43.0,282.0,1408.0,71.0,13.0,343.0,385.0,17.0
SW_S19S.0080_U_1,86.0,24.0,365.0,1595.0,42.0,6.0,240.0,432.0,14.0
SW_S19S.0080_U_2,88.0,30.0,382.0,1651.0,56.0,8.0,286.0,467.0,23.0
SW_S19S.0081_U_1,99.0,41.0,333.0,1661.0,79.0,10.0,355.0,374.0,28.0
SW_S19S.0081_U_2,105.0,46.0,354.0,1858.0,87.0,12.0,379.0,404.0,35.0
SW_S19S.0081_U_3,98.0,35.0,274.0,1631.0,84.0,14.0,351.0,349.0,18.0
SW_S19S.0082_U_1,114.0,56.0,394.0,1766.0,63.0,12.0,369.0,438.0,26.0
SW_S19S.0082_U_2,102.0,45.0,267.0,1357.0,48.0,16.0,264.0,350.0,13.0
SW_S19S.0082_U_3,103.0,42.0,283.0,1409.0,57.0,12.0,295.0,361.0,12.0
SW_S19S.0083_U_1,125.0,67.0,407.0,1753.0,75.0,14.0,391.0,428.0,18.0
SW_S19S.0083_U_2,109.0,62.0,312.0,1707.0,76.0,14.0,363.0,330.0,17.0
SW_S19S.0083_U_3,97.0,50.0,363.0,1675.0,58.0,6.0,340.0,422.0,16.0
SW_S19S.0084_U_1,32.0,9.0,220.0,1208.0,32.0,15.0,138.0,339.0,10.0
SW_S19S.0084_U_2,44.0,26.0,337.0,1512.0,36.0,13.0,172.0,427.0,28.0
SW_S19S.0084_U_3,56.0,21.0,302.0,1603.0,33.0,16.0,191.0,412.0,35.0
SW_S19S.0085_U_1,17.0,2.0,72.0,669.0,22.0,6.0,72.0,170.0,2.0
SW_S19S.0085_U_2,67.0,27.0,358.0,1579.0,41.0,9.0,249.0,389.0,33.0
SW_S19S.0085_U_3,64.0,27.0,350.0,1593.0,41.0,16.0,213.0,375.0,28.0
SW_S19S.0086_U_2,20.0,3.0,83.0,998.0,34.0,11.0,116.0,169.0,10.0
SW_S19S.0086_U_3,41.0,18.0,143.0,1392.0,48.0,12.0,167.0,286.0,18.0
SW_S19S.0087_U_1,71.0,30.0,469.0,1700.0,58.0,12.0,265.0,446.0,41.0
SW_S19S.0087_U_2,70.0,26.0,464.0,1671.0,43.0,12.0,247.0,425.0,36.0
SW_S19S.0087_U_3,66.0,13.0,406.0,1575.0,49.0,9.0,229.0,427.0,23.0
SW_S19S.0089_U_1,126.0,64.0,293.0,1723.0,105.0,11.0,427.0,272.0,28.0
SW_S19S.0089_U_2,131.0,70.0,318.0,1756.0,97.0,13.0,436.0,342.0,32.0
SW_S19S.0089_U_3,113.0,49.0,267.0,1478.0,72.0,5.0,375.0,282.0,16.0
SW_S19S.0090_U_2,56.0,27.0,483.0,1715.0,47.0,12.0,237.0,443.0,16.0
SW_S19S.0090_U_3,63.0,38.0,505.0,1805.0,49.0,10.0,244.0,456.0,23.0
SW_S19S.0091_U_3,72.0,21.0,134.0,796.0,44.0,10.0,156.0,271.0,4.0
